learning_rates = [0.001, 0.01, 0.1]
dropout_rates = [0.1, 0.2, 0.3]
batch_sizes = [16, 32, 64]
epochs_list = [10, 20, 30]

Accuracy: 0.30000001192092896 Params: {'learning_rate': 0.001, 'dropout_rate': 0.1, 'batch_size': 16, 'epochs': 10}
Accuracy: 0.33500000834465027 Params: {'learning_rate': 0.001, 'dropout_rate': 0.3, 'batch_size': 32, 'epochs': 20}
Accuracy: 0.32499998807907104 Params: {'learning_rate': 0.001, 'dropout_rate': 0.3, 'batch_size': 32, 'epochs': 30}
Accuracy: 0.29499998688697815 Params: {'learning_rate': 0.001, 'dropout_rate': 0.3, 'batch_size': 64, 'epochs': 10}
Accuracy: 0.36500000953674316 Params: {'learning_rate': 0.001, 'dropout_rate': 0.3, 'batch_size': 64, 'epochs': 20}
Accuracy: 0.3799999952316284 Params: {'learning_rate': 0.001, 'dropout_rate': 0.3, 'batch_size': 64, 'epochs': 30}
Accuracy: 0.23499999940395355 Params: {'learning_rate': 0.01, 'dropout_rate': 0.1, 'batch_size': 16, 'epochs': 10}
Accuracy: 0.22499999403953552 Params: {'learning_rate': 0.01, 'dropout_rate': 0.1, 'batch_size': 16, 'epochs': 20}
Accuracy: 0.23000000417232513 Params: {'learning_rate': 0.01, 'dropout_rate': 0.1, 'batch_size': 16, 'epochs': 30}
Accuracy: 0.2750000059604645 Params: {'learning_rate': 0.01, 'dropout_rate': 0.1, 'batch_size': 32, 'epochs': 10}
Accuracy: 0.28999999165534973 Params: {'learning_rate': 0.01, 'dropout_rate': 0.1, 'batch_size': 32, 'epochs': 20}
Accuracy: 0.3400000035762787 Params: {'learning_rate': 0.01, 'dropout_rate': 0.1, 'batch_size': 32, 'epochs': 30}
Accuracy: 0.35499998927116394 Params: {'learning_rate': 0.01, 'dropout_rate': 0.1, 'batch_size': 64, 'epochs': 10}
Accuracy: 0.3199999928474426 Params: {'learning_rate': 0.01, 'dropout_rate': 0.1, 'batch_size': 64, 'epochs': 20}
Accuracy: 0.36000001430511475 Params: {'learning_rate': 0.01, 'dropout_rate': 0.1, 'batch_size': 64, 'epochs': 30}
Accuracy: 0.2750000059604645 Params: {'learning_rate': 0.01, 'dropout_rate': 0.2, 'batch_size': 16, 'epochs': 10}
Accuracy: 0.24500000476837158 Params: {'learning_rate': 0.01, 'dropout_rate': 0.2, 'batch_size': 16, 'epochs': 20}
Accuracy: 0.24500000476837158 Params: {'learning_rate': 0.01, 'dropout_rate': 0.2, 'batch_size': 16, 'epochs': 30}
Accuracy: 0.29499998688697815 Params: {'learning_rate': 0.01, 'dropout_rate': 0.2, 'batch_size': 32, 'epochs': 10}
Accuracy: 0.375 Params: {'learning_rate': 0.01, 'dropout_rate': 0.2, 'batch_size': 32, 'epochs': 20}
Accuracy: 0.3400000035762787 Params: {'learning_rate': 0.01, 'dropout_rate': 0.2, 'batch_size': 32, 'epochs': 30}
Accuracy: 0.2849999964237213 Params: {'learning_rate': 0.01, 'dropout_rate': 0.2, 'batch_size': 64, 'epochs': 10}
Accuracy: 0.3400000035762787 Params: {'learning_rate': 0.01, 'dropout_rate': 0.2, 'batch_size': 64, 'epochs': 20}
Accuracy: 0.35499998927116394 Params: {'learning_rate': 0.01, 'dropout_rate': 0.2, 'batch_size': 64, 'epochs': 30}
Accuracy: 0.1550000011920929 Params: {'learning_rate': 0.01, 'dropout_rate': 0.3, 'batch_size': 16, 'epochs': 10}
Accuracy: 0.2800000011920929 Params: {'learning_rate': 0.01, 'dropout_rate': 0.3, 'batch_size': 16, 'epochs': 20}
Accuracy: 0.27000001072883606 Params: {'learning_rate': 0.01, 'dropout_rate': 0.3, 'batch_size': 16, 'epochs': 30}
Accuracy: 0.3050000071525574 Params: {'learning_rate': 0.01, 'dropout_rate': 0.3, 'batch_size': 32, 'epochs': 10}
Accuracy: 0.3499999940395355 Params: {'learning_rate': 0.01, 'dropout_rate': 0.3, 'batch_size': 32, 'epochs': 20}
Accuracy: 0.3100000023841858 Params: {'learning_rate': 0.01, 'dropout_rate': 0.3, 'batch_size': 32, 'epochs': 30}
Accuracy: 0.27000001072883606 Params: {'learning_rate': 0.01, 'dropout_rate': 0.3, 'batch_size': 64, 'epochs': 10}
Accuracy: 0.3700000047683716 Params: {'learning_rate': 0.01, 'dropout_rate': 0.3, 'batch_size': 64, 'epochs': 20}
Accuracy: 0.38499999046325684 Params: {'learning_rate': 0.01, 'dropout_rate': 0.3, 'batch_size': 64, 'epochs': 30}
Accuracy: 0.07000000029802322 Params: {'learning_rate': 0.1, 'dropout_rate': 0.1, 'batch_size': 16, 'epochs': 10}
Accuracy: 0.10499999672174454 Params: {'learning_rate': 0.1, 'dropout_rate': 0.1, 'batch_size': 16, 'epochs': 20}
Accuracy: 0.13500000536441803 Params: {'learning_rate': 0.1, 'dropout_rate': 0.1, 'batch_size': 16, 'epochs': 30}
Accuracy: 0.05999999865889549 Params: {'learning_rate': 0.1, 'dropout_rate': 0.1, 'batch_size': 32, 'epochs': 10}
Accuracy: 0.13500000536441803 Params: {'learning_rate': 0.1, 'dropout_rate': 0.1, 'batch_size': 32, 'epochs': 20}
Accuracy: 0.10000000149011612 Params: {'learning_rate': 0.1, 'dropout_rate': 0.1, 'batch_size': 32, 'epochs': 30}
Accuracy: 0.10000000149011612 Params: {'learning_rate': 0.1, 'dropout_rate': 0.1, 'batch_size': 64, 'epochs': 10}
Accuracy: 0.11500000208616257 Params: {'learning_rate': 0.1, 'dropout_rate': 0.1, 'batch_size': 64, 'epochs': 20}
Accuracy: 0.10499999672174454 Params: {'learning_rate': 0.1, 'dropout_rate': 0.1, 'batch_size': 64, 'epochs': 30}
Accuracy: 0.05999999865889549 Params: {'learning_rate': 0.1, 'dropout_rate': 0.2, 'batch_size': 16, 'epochs': 10}
Accuracy: 0.07000000029802322 Params: {'learning_rate': 0.1, 'dropout_rate': 0.2, 'batch_size': 16, 'epochs': 20}
Accuracy: 0.09000000357627869 Params: {'learning_rate': 0.1, 'dropout_rate': 0.2, 'batch_size': 16, 'epochs': 30}
Accuracy: 0.13500000536441803 Params: {'learning_rate': 0.1, 'dropout_rate': 0.2, 'batch_size': 32, 'epochs': 10}
Accuracy: 0.10499999672174454 Params: {'learning_rate': 0.1, 'dropout_rate': 0.2, 'batch_size': 32, 'epochs': 20}
Accuracy: 0.11999999731779099 Params: {'learning_rate': 0.1, 'dropout_rate': 0.2, 'batch_size': 32, 'epochs': 30}
Accuracy: 0.10000000149011612 Params: {'learning_rate': 0.1, 'dropout_rate': 0.2, 'batch_size': 64, 'epochs': 10}
Accuracy: 0.10499999672174454 Params: {'learning_rate': 0.1, 'dropout_rate': 0.2, 'batch_size': 64, 'epochs': 20}
Accuracy: 0.07500000298023224 Params: {'learning_rate': 0.1, 'dropout_rate': 0.2, 'batch_size': 64, 'epochs': 30}
Accuracy: 0.09000000357627869 Params: {'learning_rate': 0.1, 'dropout_rate': 0.3, 'batch_size': 16, 'epochs': 10}
Accuracy: 0.05999999865889549 Params: {'learning_rate': 0.1, 'dropout_rate': 0.3, 'batch_size': 16, 'epochs': 20}
Accuracy: 0.09000000357627869 Params: {'learning_rate': 0.1, 'dropout_rate': 0.3, 'batch_size': 16, 'epochs': 30}
Accuracy: 0.05999999865889549 Params: {'learning_rate': 0.1, 'dropout_rate': 0.3, 'batch_size': 32, 'epochs': 10}
Accuracy: 0.09000000357627869 Params: {'learning_rate': 0.1, 'dropout_rate': 0.3, 'batch_size': 32, 'epochs': 20}
Accuracy: 0.10000000149011612 Params: {'learning_rate': 0.1, 'dropout_rate': 0.3, 'batch_size': 32, 'epochs': 30}
Accuracy: 0.1850000023841858 Params: {'learning_rate': 0.1, 'dropout_rate': 0.3, 'batch_size': 64, 'epochs': 10}
Accuracy: 0.17000000178813934 Params: {'learning_rate': 0.1, 'dropout_rate': 0.3, 'batch_size': 64, 'epochs': 20}
Accuracy: 0.09000000357627869 Params: {'learning_rate': 0.1, 'dropout_rate': 0.3, 'batch_size': 64, 'epochs': 30}
Best Mean Test Accuracy: 0.4099999964237213
Best Parameters: {'learning_rate': 0.001, 'dropout_rate': 0.1, 'batch_size': 32, 'epochs': 30}
